global_ids,bat_ids,LongName,Label_number,areas,volumes,perimeter,X,Y,Z,aspect_ratio,Boundary_line,surface_areas,ax1s
0tYH3kFkjABPxtnDy0hX6m,35144,사무실,33606,124.0570817,369.6901017,48.63577832,16.05062411,7.80503436,2.98,2.056445028,20,289.5400188,0.783196568
0tYH3kFkjABPxtnDy0hX6N,39532,복도,33105,90.49360786,242.5228691,84.19284078,16.10999218,14.72500031,2.68,1.094057171,44,94.22621354,0.388525065
0tYH3kFkjABPxtnDy0hX6r,35780,사무실,33606,106.6576445,317.8397805,42.83581204,13.45564066,8.100034962,2.98,1.661183035,12,569.9833866,1.793304116
0tYH3kFkjABPxtnDy0hX6w,36233,사무실,33606,85.76410022,255.5770187,39.60128132,13.40064066,6.4,2.98,2.093850103,4,399.2810669,1.562272965
0tYH3kFkjABPxtnDy0hX6X,37279,사무실,33606,150.2785984,447.8302231,52.41104802,10.64999134,15.04996533,2.98,0.707642251,16,95.02016756,0.212178997
0tYH3kFkjABPxtnDy0hX6y,36724,사무실,33606,130.9361754,390.1898028,45.83476821,10.60015341,12.45500029,2.98,0.851076127,10,430.2434069,1.102651591
0tYH3kFkjABPxtnDy0hXfm,10816,출입구 및 전실,33114,6.933878032,39.87019961,10.80369336,3.301846677,2.100000003,5.95,1.572307939,5,124.0722391,3.111904137
0tYH3kFkjABPxtnDy0hXfn,10608,계단실,33101,14.31015671,87.29195595,17.4073867,2.601846677,5.499999997,6.1,0.473063032,6,161.0140063,1.844545749
0tYH3kFkjABPxtnDy0hXfp,10484,창고,33227,14.84999999,77.07149995,16.39999999,2.7,5.499999997,5.19,0.490909091,5,76.42468844,0.991607643
0tYH3kFkjABPxtnDy0hXfs,11103,설비관련공간,33400,21.26520464,122.0654457,20.8446966,5.09729119,5.657378852,5.74,0.900998735,9,223.7975024,1.833422236
0tYH3kFkjABPxtnDy0hXg6,11886,창고,33227,3.97926347,23.4775798,10.14431898,2.933627025,3.05577156,5.9,0.96002825,3,268.4565855,11.43459368
0tYH3kFkjABPxtnDy0hXgB,11985,창고,33227,7.99481571,47.16945409,14.93788388,6.4,1.7,5.9,3.764705882,5,222.3859371,4.714617572
0tYH3kFkjABPxtnDy0hXgJ,11411,홀,33118,14.58593136,83.10583931,16.61987408,5.701846677,2.596090361,5.9,2.196320576,8,68.40585367,0.823117295
0tYH3kFkjABPxtnDy0hXgV,11675,설비관련공간,33400,38.52981403,221.1611326,25.55680691,6.6,5.9,5.74,1.118644068,10,104.3705797,0.471920986
0tYH3kFkjABPxtnDy0hXh1,15121,사무실,33606,44.88543096,228.0179893,29.55010413,10.37501742,4.400034648,5.08,2.357939936,9,106.36,0.466454425
0tYH3kFkjABPxtnDy0hXh8,15511,계단실,33101,14.29999999,68.63999996,16.19999999,2.6,5.499999997,4.8,0.472727273,6,46.67064342,0.679933617
0tYH3kFkjABPxtnDy0hXha,13469,사무실,33606,51.63031019,184.8365105,35.00121197,13.27564066,4.099965325,3.58,3.237988521,15,257.1306436,1.391124745
0tYH3kFkjABPxtnDy0hXhB,15384,계단실,33101,14.31015671,70.83375942,16.20369335,2.601846677,5.499999997,4.95,0.473063032,6,858.9733138,12.12660913
0tYH3kFkjABPxtnDy0hXhd,13330,사무실,33606,52.92256266,189.4627743,34.46128132,13.23064066,4.000000002,3.58,3.307660163,5,261.2321673,1.378804719
0tYH3kFkjABPxtnDy0hXhG,14329,사무실,33606,39.35962802,140.9074683,28.09991332,10.07499134,3.974965322,3.58,2.534611128,8,180.027829,1.277631563
0tYH3kFkjABPxtnDy0hXhJ,14015,사무실,33606,65.28880518,233.7339225,35.35000927,5.350004346,12.32500029,3.58,0.434077422,10,181.3768687,0.775997197
0tYH3kFkjABPxtnDy0hXhk,13715,사무실,33606,66.78469816,239.0892194,35.52222226,5.504995654,12.32500029,3.58,0.446652781,10,179.3169457,0.75000013
0tYH3kFkjABPxtnDy0hXhL,14498,사무실,33606,40.29996537,144.273876,28.14998268,10.07499134,4.000000002,3.58,2.518747833,4,215.6060144,1.494421723
0tYH3kFkjABPxtnDy0hXho,12089,사무실,33606,61.20051455,219.0978421,40.79764144,15.87378616,3.925034547,3.58,4.044241132,13,227.762686,1.039547829
0tYH3kFkjABPxtnDy0hXhQ,14611,사무실,33606,39.62532103,141.8586493,28.1500522,10.07499134,4.000034764,3.58,2.518725944,8,232.1402484,1.636419419
0tYH3kFkjABPxtnDy0hXhs,14950,사무실,33606,50.13392835,179.4794616,34.11119711,13.28063284,3.77496544,3.58,3.518080641,6,227.4452717,1.267249576
0tYH3kFkjABPxtnDy0hXhS,14950,사무실,33606,42.5372118,216.089036,28.94996551,10.37501742,4.099965339,5.08,2.530513445,6,227.4452717,1.052553503
0tYH3kFkjABPxtnDy0hXhu,12686,사무실,33606,51.85797028,185.6515336,34.56126567,13.28063284,4,3.58,3.320158209,8,230.4476317,1.24129129
0tYH3kFkjABPxtnDy0hXhV,14782,사무실,33606,46.70500713,190.5564291,29.95000003,10.375,4.600000013,4.08,2.255434776,9,239.8853909,1.258868001
0tYH3kFkjABPxtnDy0hXhx,12502,사무실,33606,52.01655227,186.2192571,34.5613356,13.28063284,4.000034962,3.58,3.32012919,8,221.7096249,1.190583769
0tYH3kFkjABPxtnDy0hXhY,13014,사무실,33606,53.17979752,190.3836751,34.66146274,13.23064066,4.100090712,3.58,3.226914131,9,228.5649592,1.200549149
0tYH3kFkjABPxtnDy0hXhz,12840,사무실,33606,49.86757162,178.5259064,34.07108425,13.28063284,3.75490929,3.58,3.536871815,7,229.2165125,1.283939777
0tYH3kFkjABPxtnDy0hXi6,19120,사무실,33606,129.2036754,410.8676878,45.76030741,10.60015341,12.28000029,3.18,0.863204655,10,433.8587095,1.05595724
0tYH3kFkjABPxtnDy0hXib,18035,화장실,33234,17.27605401,39.56216368,22.01996514,3.239991307,5.439999997,2.29,0.595586638,12,47.43386765,1.198970512
0tYH3kFkjABPxtnDy0hXig,18245,화장실,33234,11.02367545,25.24421677,13.76003477,2.540017386,4.339999997,2.29,0.585257463,4,286.2533839,11.33936483
0tYH3kFkjABPxtnDy0hXii,18343,설비관련공간,33400,6.060401834,21.69623857,9.863984353,2.609992177,2.322,3.58,1.124027638,5,346.973853,15.99235056
0tYH3kFkjABPxtnDy0hXio,16210,복도,33105,164.5270902,611.4457961,140.9777649,32.51000869,26.44000012,4.18,1.229576722,57,52.54497829,0.085935628
0tYH3kFkjABPxtnDy0hXiO,16210,사무실,33606,105.4984156,335.4849615,42.76006976,13.27999992,8.100034962,3.18,1.639499087,57,52.54497829,0.156623945
0tYH3kFkjABPxtnDy0hXiq,17712,설비관련공간,33400,5.844787276,20.92433845,9.671304313,2.230624143,2.655,3.58,0.840159753,6,84.97782818,4.061195453
0tYH3kFkjABPxtnDy0hXiR,18534,사무실,33606,76.25126902,242.4790337,42.06001602,13.23000774,7.799999987,3.18,1.696154842,10,295.0529985,1.216818601
0tYH3kFkjABPxtnDy0hXiT,18979,사무실,33606,84.95999949,270.1727984,39.34999984,13.27499992,6.4,3.18,2.074218738,4,458.2008752,1.695954877
0tYH3kFkjABPxtnDy0hXiZ,17852,출입구 및 전실,33114,6.933878032,24.82328335,10.80369336,3.301846677,2.100000003,3.58,1.572307939,5,53.55783051,2.157564322
0tYH3kFkjABPxtnDy0hXjn,19363,사무실,33606,146.3411029,465.3647073,52.04989602,10.47499134,14.87496533,3.18,0.70420274,16,48.20409223,0.103583472
0tYH3kFkjABPxtnDy0hXjs,19674,사무실,33606,137.2543723,436.4689038,50.11005187,10.37500003,13.40503462,3.18,0.773962942,22,101.5001745,0.232548467
0tYH3kFkjABPxtnDy0hXm6,20799,복도,33105,97.7437591,301.050778,89.82295979,16.155,17.45503465,3.08,0.925520936,47,340.1419706,1.129849167
0tYH3kFkjABPxtnDy0hXmd,20025,출입구 및 전실,33114,6.930018343,22.03745833,10.80001747,3.30000873,2.100000003,3.18,1.571432726,5,101.5,4.605794302
0tYH3kFkjABPxtnDy0hXmf,20185,계단실,33101,14.300048,64.35021602,16.20001745,2.60000873,5.499999997,4.5,0.47272886,5,94.22621354,1.464271907
0tYH3kFkjABPxtnDy0hXmG,20432,화장실,33234,17.27605401,46.81810637,22.01996514,3.239991307,5.439999997,2.71,0.595586638,12,472.2962344,10.08789699
0tYH3kFkjABPxtnDy0hXmk,20299,계단실,33101,14.29999999,64.34999996,16.19999999,2.6,5.499999997,4.5,0.472727273,7,59.33704511,0.922098604
0tYH3kFkjABPxtnDy0hXmL,20642,화장실,33234,11.02367545,29.87416046,13.76003477,2.540017386,4.339999997,2.71,0.585257463,4,279.8162852,9.366498703
0tYH3kFkjABPxtnDy0hXO0,41864,사무실,33606,85.76410022,255.5770187,39.60128132,13.40064066,6.4,2.98,2.093850103,4,399.2810669,1.562272965
